userId,rating_count,avg_rating,unique_movies
1,232,4.366379310344827,232
2,29,3.9482758620689653,29
3,39,2.4358974358974357,39
4,216,3.5555555555555554,216
5,44,3.6363636363636362,44
6,314,3.4936305732484074,314
7,152,3.2302631578947367,152
8,47,3.574468085106383,47
9,46,3.260869565217391,46
10,140,3.2785714285714285,140
11,64,3.78125,64
12,32,4.390625,32
13,31,3.6451612903225805,31
14,48,3.3958333333333335,48
15,135,3.448148148148148,135
16,98,3.7244897959183674,98
17,105,4.20952380952381,105
18,502,3.7320717131474104,502
19,703,2.607396870554765,703
20,242,3.590909090909091,242
21,443,3.260722347629797,443
22,119,2.5714285714285716,119
23,121,3.6487603305785123,121
24,110,3.65,110
25,26,4.8076923076923075,26
26,21,3.238095238095238,21
27,135,3.5481481481481483,135
28,570,3.020175438596491,570
29,81,4.1419753086419755,81
30,34,4.735294117647059,34
31,50,3.92,50
32,102,3.7549019607843137,102
33,156,3.7884615384615383,156
34,86,3.4186046511627906,86
35,23,4.086956521739131,23
36,60,2.6333333333333333,60
37,21,4.142857142857143,21
38,78,3.217948717948718,78
39,100,4.0,100
40,103,3.766990291262136,103
41,217,3.2534562211981566,217
42,440,3.565909090909091,440
43,114,4.552631578947368,114
44,48,3.3541666666666665,48
45,399,3.8759398496240602,399
46,42,4.0,42
47,140,3.0535714285714284,140
48,33,4.03030303030303,33
49,21,4.261904761904762,21
50,310,2.7806451612903227,310
51,359,3.7757660167130918,359
52,130,4.476923076923077,130
53,20,5.0,20
54,33,3.0303030303030303,33
55,25,2.84,25
56,46,3.8043478260869565,46
57,476,3.392857142857143,476
58,112,3.9017857142857144,112
59,107,4.355140186915888,107
60,22,3.727272727272727,22
61,39,4.051282051282051,39
62,366,4.081967213114754,366
63,271,3.6309963099630997,271
64,517,3.7688588007736943,517
65,34,4.029411764705882,34
66,345,4.0202898550724635,345
67,36,3.9722222222222223,36
68,1260,3.233730158730159,1260
69,46,4.369565217391305,46
70,62,4.32258064516129,62
71,35,3.6,35
72,45,4.155555555555556,45
73,210,3.711904761904762,210
74,177,4.271186440677966,177
75,69,3.2318840579710146,69
76,119,3.0840336134453783,119
77,29,4.0,29
78,61,3.1639344262295084,61
79,64,4.203125,64
80,167,4.2604790419161676,167
81,26,2.769230769230769,26
82,227,3.381057268722467,227
83,118,3.309322033898305,118
84,293,3.689419795221843,293
85,34,3.7058823529411766,34
86,70,3.9285714285714284,70
87,21,3.9523809523809526,21
88,56,4.035714285714286,56
